playername,playerid,team,1920salary,2021salary,2122salary,2223salary,2324salary,2425salary,signedusing,guaranteed
Bruce Brown,brownbr01,DET,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Keita Bates-Diop,bateske01,DEN,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Devonte' Graham,grahade01,CHO,"$1,416,852 ","$1,663,861 ",,,,,MLE,"$1,416,852 "
Jalen Brunson,brunsja01,DAL,"$1,416,582 ","$1,663,861 ","$1,802,057 ",,,,Cap Space,"$3,080,443 "
Bruno Fernando,fernabr01,ATL,"$1,400,000 ","$1,517,981 ","$1,782,621 ",,,,Cap space,"$4,700,602 "
Jaylen Nowell,nowelja01,MIN,"$1,400,000 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$1,400,000 "
Alfonzo McKinnie,mckinal01,CLE,"$1,361,046 ","$1,762,796 ","$1,910,860 ","$2,165,298 ",,,MLE,"$2,253,031 "
Kevin Porter,porteke02,CLE,"$1,290,960 ","$2,033,160 ","$2,130,240 ","$3,845,083 ",,,1st Round Pick,"$3,324,120 "
Carsen Edwards,edwarca01,BOS,"$1,228,026 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Cap space,"$4,528,628 "
Cody Martin,martico01,CHO,"$1,173,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,473,912 "
Gary Payton,paytoga02,WAS,"$1,090,781 ",,,,,,Minimum Salary,"$1,090,781 "
George Hill,hillge01,MIL,"$1,000,000 ",,,,,,,"$21,000,000 "
Terance Mann,mannte01,LAC,"$1,000,000 ","$1,517,984 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,517,984 "
Jonathon Simmons,simmojo02,WAS,"$1,000,000 ",,,,,,,"$1,000,000 "
Justin Hamilton,hamilju01,TOR,"$1,000,000 ",,,,,,,"$1,000,000 "
Kyle Singler,singlky01,OKC,"$999,200 ","$999,200 ","$999,200 ","$999,200 ",,,,"$3,996,800 "
Marvin Williams,willima02,MIL,"$956,349 ",,,,,,Minimum Salary,"$956,349 "
David Nwaba,nwabada01,HOU,"$903,111 ","$1,862,250 ",,,,,MLE,"$903,111 "
Admiral Schofield,schofad01,WAS,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
KZ Okpala,okpalkz01,MIA,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
Eric Paschall,pascher01,GSW,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
Nicolas Claxton,claxtni01,BRK,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$4,198,912 "
Justin James,jamesju01,SAC,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
Jalen Lecque,lecquja01,PHO,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Cap Space,"$2,416,291 "
Ignas Brazdeikis,brazdig01,NYK,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
Talen Horton-Tucker,hortota01,LAL,"$898,310 ","$1,517,981 ",,,,,Minimum Salary,"$2,416,291 "
Daniel Gafford,gaffoda01,CHI,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,416,291 "
Alen Smailagić,smailal01,GSW,"$898,310 ","$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$2,415,891 "
Matt Thomas,thomama02,TOR,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$1,623,310 "
Miye Oni,onimi01,UTA,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$898,310 "
Dewan Hernandez,hernade01,TOR,"$898,310 ","$1,517,981 ","$1,782,621 ",,,,MLE,"$898,310 "
